cadireta
cadcont,cadpai,cadfilho,cadstatus,cadsuscad,cadpainome,cadfilnome,cadpaium,cadfilum,caduso,cadcomp,cadlarg,cadesp,cadpeso,cadfase,cadgrav,cadhora,cadimpdt,cadimphr,cadusuimp,cadlocal,cadgrpai,cadsgpai,cadsgrfil,cadsgfil,cadoriemb,cadproj,cadarquivo,cadcobr,cadlabr,cadesbr,cadclass,cadplcor,cadusamed,cadborint,cadbordsup,cadbordinf,cadboresq,cadbordir,cadpaiarea,cadtpfil,cadpembpr,cadpembpp,cadindter,caddimper,cadapp,cadmatricula
1,5.8.1124,"P""_""1",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},Bancada Base,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:06,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""1",N,IMP3CAD,Bancada Base,CAVILHA PINUS 8X30MM                              ,UN,UN,40.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:06,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""2",N,IMP3CAD,Bancada Base,TAMBOR MINIFIX 15MM                               ,UN,UN,48.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""3",N,IMP3CAD,Bancada Base,PARAFUSO MINIFIX 6.3MM ZAMAC                      ,UN,UN,48.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,100,4,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""4",N,IMP3CAD,Bancada Base,BASE INF,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""5",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""6",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""7",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""8",N,IMP3CAD,Bancada Base,BAS INTERMEDIARIA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:07,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
